,title,rating,price,image_link
0,"Sceptre IPS 24"" 1920 x 1080p Gaming Monitor up to 165Hz DisplayPort HDMI AMD FreeSync Premium 98% sRGB Build-in Speakers, Black 2021 (E248B-FPT168S)",5.0,219.97,https://m.media-amazon.com/images/I/61Ix9RlSOfS._AC_UY218_.jpg
1,"SAMSUNG Odyssey G3 Series 27-Inch FHD 1080p Gaming Monitor, 144Hz, 1ms, 3-Sided Border-Less, VESA Compatible, Height Adjustable Stand, FreeSync Premium (LF27G35TFWNXZA)",4.3,249.99,https://m.media-amazon.com/images/I/81XKPle6OAL._AC_UY218_.jpg
2,"Sceptre 20"" 1600x900 75Hz Ultra Thin LED Monitor 2x HDMI VGA Built-in Speakers, Machine Black Wide Viewing Angle 170° (Horizontal) / 160° (Vertical)",4.5,104.97,https://m.media-amazon.com/images/I/51Q2-EXm7RS._AC_UY218_.jpg
3,"Sceptre E249W-19203R 24-inch FHD LED Gaming Monitor 2X HDMI VGA 75Hz Build-in Speakers, Machine Black",4.6,131.96,https://m.media-amazon.com/images/I/61I-OaLlngS._AC_UY218_.jpg
4,Nixeus EDG 34” Ultrawide 3440 x 1440 AMD Radeon FreeSync Certified 144Hz 1500R Curved Gaming Monitor with Tilt Only Stand (NX-EDG34S),4.5,549.99,https://m.media-amazon.com/images/I/71k1q4KzteL._AC_UY218_.jpg
5,BenQ EX3501R Ultrawide Curved Gaming Monitor | 34 inch class (35 Inch) | 21:9 QHD (3440 X 1440) | 100Hz | HDR | FreeSync,4.5,549.99,https://m.media-amazon.com/images/I/81OkrmgKAoL._AC_UL320_.jpg
6,BenQ EW3280U 32 inch 4K Monitor | IPS | Multi Media with HDMI connectivity HDR Eye-Care Integrated Speakers and Custom Audio Modes,4.4,699.99,https://m.media-amazon.com/images/I/616tiipwUvL._AC_UL320_.jpg
7,"AOC U2790VQ 27"" 4K 3840x2160 UHD Frameless Monitor, IPS, 5ms, 1 Billion+ Colors, 108% sRGB, VESA",4.3,287.09,https://m.media-amazon.com/images/I/91cf3dlnoRL._AC_UL320_.jpg
8,Asus TUF Gaming VG35VQ 35” Curved HDR Monitor 100Hz Uwqhd (3440 X 1440) 1ms FreeSync Eye Care DisplayPort HDMI USB HDR10,4.7,459.00,https://m.media-amazon.com/images/I/81SUDW8AxuL._AC_UY218_.jpg
9,"ASUS VE248H 24"" Full HD 1920x1080 2Ms HDMI DVI VGA Back-Lit LED Monitor,Black",4.7,199.00,https://m.media-amazon.com/images/I/81jQHlCv70L._AC_UY218_.jpg
10,"Acer Nitro XV282K KVbmiipruzx 28"" UHD (3840 x 2160) Agile-Splendor IPS Gaming Monitor | AMD FreeSync Premium | 144Hz | 1ms | TUV/Eyesafe | 1 x Display Port 1.2, 2 x HDMI 2.1 & 4 x USB Ports",5.0,899.99,https://m.media-amazon.com/images/I/81fsO3mmP-L._AC_UY218_.jpg
11,"LG 32GP850-B 32” Ultragear QHD (2560 x 1440) Nano IPS Gaming Monitor w/ 1ms (GtG) Response Time & 165Hz Refresh Rate, NVIDIA G-SYNC Compatible with AMD FreeSync Premium, Tilt/Height/Pivot Adjustable",4.6,496.99,https://m.media-amazon.com/images/I/711Sdt7caIS._AC_UY218_.jpg
12,"LG 27UL500-W 27-Inch UHD (3840 x 2160) IPS Monitor with Radeon Freesync Technology and HDR10, White",4.7,299.99,https://m.media-amazon.com/images/I/61pI7loWpZS._AC_UY218_.jpg
13,"Razer Raptor 27"" Gaming Monitor: WQHD (2560x1440) - IPS-Grade - 144Hz - 1ms Response - HDR 400 - NVIDIA G-Sync Compatible & AMD FreeSync - Solid Aluminum Base - Razer Chroma RGB - 5 Flat Cables in Box",4.7,619.95,https://m.media-amazon.com/images/I/61oe-CnHshL._AC_UY218_.jpg
14,"ASUS ROG Strix 27” 2K HDR Gaming Monitor (XG27AQM) - WQHD (2560 x 1440), Fast IPS, 270Hz, 0.5ms, Extreme Low Motion Blur Sync, G-SYNC Compatible, DisplayHDR 400, Eye Care, DisplayPort, HDMI, USB 3.0",4.4,699.99,https://m.media-amazon.com/images/I/81Ip0XMbbQS._AC_UY218_.jpg
15,"LG LED Monitor 34"" Curved UltraWide WQHD (3840 x 1440) IPS Display, 99% Color Accuracy, Immersive, Detailed Contrast, USB-C, Anti-Glare, Adjustable - Black",4.6,549.99,https://m.media-amazon.com/images/I/81WBbFOEHwL._AC_UY218_.jpg
16,"LG Ultrafine Monitor 27"" UHD (3840 x 2160) IPS Display, 99% Color Accuracy, Detailed Contrast, Borderless Frame, Hardware, USB-C, Business, FreeSync - Silver",4.6,444.59,https://m.media-amazon.com/images/I/81kVFBp13RL._AC_UY218_.jpg
17,Dell UltraSharp U2722DE 27 in QHD USB-C Hub Monitor,3.5,579.99,https://m.media-amazon.com/images/I/81DBpBQssbS._AC_UY218_.jpg
18,"BenQ PD2700U 27 inch 4K Monitor for Designers 3840x2160 UHD IPS panel with AQCOLOR 100% Rec.709, sRGB; Factory-calibrated; DualView, Eye-care, Anti-Glare, Gray",4.6,499.99,https://m.media-amazon.com/images/I/61l81Nx4EHL._AC_UY218_.jpg
